ranker,query_id,query,p@5,p@10,r@5,rr,ap
frequency,q01,einstein imagination,0.200,0.100,0.250,0.500,0.125
frequency,q02,austen books,0.400,0.300,0.400,1.000,0.486
frequency,q03,good friends,0.400,0.300,0.400,1.000,0.460
frequency,q04,humor classic,0.600,0.300,0.750,1.000,0.688
frequency,q05,rowling magic,0.000,0.000,0.000,0.000,0.000
frequency,q06,deep thoughts,0.200,0.100,1.000,1.000,1.000
frequency,q07,monroe inspirational,0.400,0.200,0.500,1.000,0.500
frequency,q08,edison genius,0.200,0.100,0.250,0.500,0.125
frequency,q09,be yourself,0.000,0.100,0.000,0.100,0.100
frequency,q10,wisdom truth,0.200,0.100,0.333,0.500,0.167
frequency,q11,love romance,0.200,0.100,0.250,0.500,0.125
frequency,q12,live miracle,0.600,0.400,0.750,1.000,0.799
tfidf,q01,einstein imagination,0.200,0.100,0.250,1.000,0.250
tfidf,q02,austen books,0.400,0.300,0.400,0.500,0.300
tfidf,q03,good friends,0.400,0.400,0.400,1.000,0.564
tfidf,q04,humor classic,0.400,0.300,0.500,1.000,0.475
tfidf,q05,rowling magic,0.000,0.000,0.000,0.000,0.000
tfidf,q06,deep thoughts,0.200,0.100,1.000,1.000,1.000
tfidf,q07,monroe inspirational,0.400,0.200,0.500,0.500,0.292
tfidf,q08,edison genius,0.200,0.100,0.250,0.500,0.125
tfidf,q09,be yourself,0.000,0.100,0.000,0.167,0.167
tfidf,q10,wisdom truth,0.200,0.100,0.333,1.000,0.333
tfidf,q11,love romance,0.200,0.100,0.250,1.000,0.250
tfidf,q12,live miracle,0.600,0.400,0.750,1.000,0.799
bm25,q01,einstein imagination,0.200,0.100,0.250,1.000,0.250
bm25,q02,austen books,0.000,0.200,0.000,0.143,0.069
bm25,q03,good friends,0.800,0.500,0.800,0.500,0.710
bm25,q04,humor classic,0.200,0.300,0.250,1.000,0.396
bm25,q05,rowling magic,0.000,0.000,0.000,0.000,0.000
bm25,q06,deep thoughts,0.200,0.100,1.000,1.000,1.000
bm25,q07,monroe inspirational,0.200,0.200,0.250,0.200,0.133
bm25,q08,edison genius,0.200,0.100,0.250,0.500,0.125
bm25,q09,be yourself,0.200,0.100,1.000,1.000,1.000
bm25,q10,wisdom truth,0.200,0.100,0.333,1.000,0.333
bm25,q11,love romance,0.200,0.100,0.250,1.000,0.250
bm25,q12,live miracle,0.800,0.400,1.000,1.000,0.950
frequency,_MEAN_,(mean over all queries),0.283,0.175,0.407,0.675,0.381
tfidf,_MEAN_,(mean over all queries),0.267,0.183,0.386,0.722,0.380
bm25,_MEAN_,(mean over all queries),0.267,0.183,0.449,0.695,0.435
